id,nr,pytanie,odpowiedź,A,B,C,D,E,tags,termin,przedmiot,temat,boards_and_beyond
,56,"U chorego z zespołem Wolffa-Parkinsona-White’a (WPW) należy niezwłocznie wykonać kardiowersję elektryczną migotania przedsionków (AF), gdy:",B,współistnieje hipokaliemia.,migotaniu towarzyszy bardzo szybka akcja komór serca.,udokumentowane jest istnienie wielu dodatkowych dróg przewodzenia.,w każdej z wymienionych sytuacji należy niezwłocznie wykonać kardiowersję.,w żadnej z wymienionych sytuacji nie należy wykonywać kardiowersji.,choroby_wewnętrzne,,,,
,57,"Na ostre cewkowo-śródmiąższowe zapalenie nerek mogą wskazywać współwystępujące z różną częstością objawy obejmujące:
1) tępy ból w okolicy lędźwiowej;
2) skąpomocz;
3) osutkę plamistogrudkową;
4) krwiomocz;
5) gorączkę.
Prawidłowa odpowiedź to:",A,wszystkie wymienione.,"1,2,4.",tylko 1.,"3,4,5.","2,3.",choroby_wewnętrzne,,,,
,58,Białko monoklonalne (białko M) w szpiczaku plazmocytowym jest najczęściej immunoglobuliną klasy:,A,IgG.,IgA.,IgM.,IgE.,IgD.,choroby_wewnętrzne,,hematologia,,
,59,"Czynnikiem określającym dynamiczny przebieg POChP jest:
1) wartość FEV1 chorego;
2) stopień nasilenia duszności wg MRC;
3) nałóg palenia papierosów;
4) częstość zaostrzeń choroby;
5) wiek chorego.
Prawidłowa odpowiedź to:",D,"1,2.",tylko 2.,"3,4.",tylko 4.,"4,5.",choroby_wewnętrzne,,,,
,60,"40-letni chory na cukrzycę typu 1 zgłasza coraz częstsze niedocukrzenia, przez które musiał zmniejszyć dawkę podawanej insuliny. Jaka może być przyczyna niedocukrzeń u tego chorego?",E,nadmierne spożywanie alkoholu.,zwiększenie aktywności fizycznej.,zmniejszenie kaloryczności spożywanych pokarmów.,uszkodzenie czynności wydalniczej nerek.,wszystkie wymienione.,choroby_wewnętrzne,,,,
,61,Wskaż fałszywe stwierdzenie dotyczące leczenia krwotoku z żylaków przełyku:,E,w leczeniu należy uwzględnić antybiotyk.,somatostatyna i glipresyna posiadają podobną skuteczność w hamowaniu krwotoku.,pacjent wymaga przetoczenia krwi do wartości stężenia hemoglobiny 7-8 g/dL.,należy unikać przetoczeń dużych objętości mrożonego osocza w celu normalizacji wskaźnika INR.,należy wykonać endoskopię po 24 godzinach od początku hospitalizacji.,choroby_wewnętrzne,,,,
,62,"Bezobjawowe zakażenie układu moczowego wymaga leczenia w ściśle określonych sytuacjach klinicznych. Wskaż te sytuacje:
1) kobiety w ciąży;
2) biorcy przeszczepu nerki w pierwszych 6-12 miesiącach po zabiegu transplantacji;
3) pacjenci z cukrzycą;
4) przed planowaną przezcewkową resekcją gruczołu krokowego lub innymi zabiegami urologicznymi na drogach moczowych;
5) chorzy z długotrwale utrzymywanym cewnikiem pęcherzowym.
Prawidłowa odpowiedź to:",B,"1,3,5.","1,2,4.","1,3,4.","2,3,5.","2,4,5.",choroby_wewnętrzne,,,,
,63,Do leków modyfikujących proces zapalny w reumatologii należą:,B,indometacyna.,metotreksat.,celekoksyb.,etanercept.,rytuksymab.,choroby_wewnętrzne,,,,
,64,Wskaż fałszywe stwierdzenie dotyczące zespołu nieadekwatnego wydzielania hormonu antydiuretycznego (syndrome of inappropriate antidiuretic hormone secretion - SIADH):,D,rozpoznanie SIADH nie jest możliwe bez wykluczenia niedoczynności kory nadnerczy.,ryzyko demielinizacji mostu narasta przy zbyt szybkim wyrównaniu hiponatremii.,"oznaczanie sodu w moczu ma znaczenie diagnostyczne tylko wtedy, gdy pacjent nie przyjmuje diuretyków.",korekta hiponatremii wymaga podania stężonego (3%) roztworu soli fizjologicznej u większości pacjentów.,"osmolalność surowicy jest niższa od 280 mOsm/kg, zaś osmolalność moczu powinna być wyższa od 100 mOsm/kg.",choroby_wewnętrzne,,,,
,65,28-letni mężczyzna zgłasza się do lekarza z powodu bólu w nadbrzuszu promieniującego do pleców. Stężenie amylazy w surowicy krwi jest 10-krotnie wyższe niż zakres normy. Jakie jest najbardziej prawdopodobne rozpoznanie?,A,ostre zapalenie trzustki.,rozwarstwienie aorty.,choroba wrzodowa żołądka i dwunastnicy.,ostry zawał serca.,choroba trzewna.,choroby_wewnętrzne,,,,
,66,Do kryteriów klasyfikacyjnych choroby Stilla u dorosłych nie należy:,E,gorączka >39°C utrzymująca się > 1 tydzień;.,ból stawów utrzymujący się > 2 tygodnie;.,typowa osutka;.,"leukocytoza > 10 000/mm , neutrofile > 80%;.",obecność mononuklearów w rozmazie krwi.,choroby_wewnętrzne,,,,
,67,W celu rozpoznania przewlekłej obturacyjnej choroby płuc oprócz analizy objawów klinicznych należy wykonać badanie spirometryczne. Który z parametrów spirometrii służy do rozpoznania tej choroby?,A,natężona objętość wydechowa pierwszosekundowa (FEV1) oraz natężona pojemność życiowa (FVC).,pojemność wdechowa (IC).,objętość oddechowa (TV).,wydechowa objętość zapasowa (ERV).,wdechowa objętość zapasowa (IRV).,choroby_wewnętrzne,,,,
,68,W jakiej chorobie lub stanie klinicznym może wystąpić nabyta hemofilia A?,E,u kobiety 2 miesiące po porodzie.,w toczniu rumieniowatym układowym.,"bez uchwytnej przyczyny u osoby w wieku podeszłym, tzw. postać idiopatyczna.",w raku prostaty.,w każdym z wymienionych przypadków.,choroby_wewnętrzne,,hematologia,,
,69,"Zespół Eisenmengera rozpoznany u 28-letniego chorego może być powikłaniem nieskorygowanej wrodzonej wady serca, takiej jak:
1) ubytek w przegrodzie międzyprzedsionkowej;
2) ubytek w przegrodzie międzykomorowej;
3) anomalia Ebsteina;
4) koarktacja aorty;
5) przetrwały przewód tętniczy.
Prawidłowa odpowiedź to:",C,"1,2,3,5.","2,3,5.","1,2,5.","2,4.","3,4.",choroby_wewnętrzne,,,,
,70,Niedokrwistość z niedoboru żelaza należy leczyć poprzez podaż preparatów doustnych żelaza przez okres około:,C,2 tygodni.,4 tygodni.,3 miesięcy.,6 miesięcy.,1 roku.,choroby_wewnętrzne,,hematologia,,
,71,Do leków mogących indukować nadciśnienie tętnicze nie należy/ą:,A,teofilina.,cyklosporyna.,erytropoetyna.,glikokortykosteroidy.,preparaty testosteronu.,choroby_wewnętrzne,,,,
,72,"42-letni chory, z cukrzycą typu 1 od 7. r.ż., zauważył wzrost wartości ciśnienia skurczowego w pomiarach domowych do wartości 150-160 mmHg. W ciągu ostatnich kilku lat przebył kilka zabiegów laseroterapii z powodu retinopatii proliferacyjnej. Od kilku miesięcy budzi się w nocy 2-3 razy z powodu konieczności oddania moczu. Występujące objawy z największym prawdopodobieństwem sugerują:",D,łagodny rozrost prostaty.,zakażenie układu moczowego.,zwężenie tętnicy nerkowej.,nefropatię cukrzycową.,zwężenie zastawki aortalnej.,choroby_wewnętrzne,,,,
,73,"Wskaż zdania prawdziwe dotyczące patogenezy i leczenia obrzęków w zespole nerczycowym:
1) u większości chorych ze stężeniem albumin 2,0-3,0 g/l obrzęki przebiegają z hiperwolemią i spowodowane są retencją sodu w kanalikach nerkowych;
2) u części chorych z hipoalbuminemią < 2,0 g/l obrzęki przebiegają z hipowolemią;
3) bez względu na mechanizm patogenetyczny u wszystkich chorych przed podaniem leków moczopędnych należy przetoczyć 100 ml 20% albumin;
4) u chorych z hiperwolemią należy ograniczyć podaż sodu do 3-6 g NaCl na dobę;
5) zaleca się zwiększone dawki furosemidu podawanego dożylnie z powodu hipoalbuminemii.
Prawidłowa odpowiedź to:",A,"1,2,4,5.","1,2,5.","2,3,4.","1,4,5.","2,3,4,5.",choroby_wewnętrzne,,,,
,74,"Wskaż zdania prawdziwe dotyczące nefropatii kontrastowej:
1) nefropatia kontrastowa to ostre uszkodzenie nerek, które rozwija się w ciągu 7-10 dni po podaniu dotętniczo środka kontrastowego;
2) czynnikiem ryzyka jest starszy wiek pacjenta;
3) czynnikiem ryzyka jest stosowanie diuretyków;
4) zapobieganie nefropatii kontrastowej polega na dożylnym nawodnieniu pacjentów z grup ryzyka 0,9% roztworem NaCl;
5) u chorych z upośledzoną czynnością nerek należy zapobiegawczo przed i po podaniu środka kontrastowego wykonać zabieg hemodializy.
Prawidłowa odpowiedź to:",D,"1,2,3,4.","2,3,4,5.","1,3,4.","2,3,4.","3,4,5.",choroby_wewnętrzne,,,,
,75,"Wskaż wynik badania gazometrycznego krwi tętniczej, który świadczy o kwasicy oddechowej niewyrównanej:",A,"pH - 7,30, pCO - 55 mmHg, HCO - 24 mmol/l.","pH - 7,40, pCO - 40 mmHg, HCO - 25 mmol/l.","pH - 7,50, pCO - 30 mmHg, HCO - 23 mmol/l.","pH - 7,30, pCO - 50 mmHg, HCO - 19 mmol/l.","pH - 7,48, pCO - 28 mmHg, HCO - 31 mmol/l.",choroby_wewnętrzne,,,,
,76,"Jakie rodzaje uszkodzenia nerek występują w przebiegu szpiczaka plazmocytowego?
1) amyloidoza AL;
2) ogniskowe segmentalne twardnienie kłębuszków nerkowych FSGS;
3) choroba złogów immunoglobulin monoklonalnych;
4) nefropatia wałeczkowa;
5) nefropatia błoniasta.
Prawidłowa odpowiedź to:",B,"1,3,5.","1,3,4.","1,2,3,5.","2,4,5.","3,4.",choroby_wewnętrzne,,hematologia,,
,77,Najczęściej występującą postacią mezangialnego kłębuszkowego zapalenia nerek jest:,B,submikroskopowe kłębuszkowe zapalenie nerek.,nefropatia IgA.,błoniaste kłębuszkowe zapalenie nerek.,ogniskowe segmentalne stwardnienie kłębuszków nerkowych.,błoniastorozplemowe kłębuszkowe zapalenie nerek.,choroby_wewnętrzne,,,,
,78,Kwasica metaboliczna w zaawansowanej przewlekłej chorobie nerek jest spowodowana:,E,stosowaniem węglanu wapnia.,upośledzeniem cewkowej reabsorpcji HCO .,akumulacją kwasów organicznych.,"prawdziwe są odpowiedzi A,B,C.",prawdziwe są odpowiedzi B i C. 3 -,choroby_wewnętrzne,,,,
,79,Powikłaniem długoterminowej terapii inhibitorami pompy protonowej nie jest:,D,zespół rozrostu bakteryjnego w jelicie cienkim (SIBO).,infekcja jelitowa Clostridium difficile.,niedobór witaminy B .,chłoniak żołądka.,hipomagnezemia.,choroby_wewnętrzne,,,,
,80,"U pacjenta l. 36 ze świeżo stwierdzonym nadciśnieniem tętniczym i cukrzycą typu 2, skarżącego się na zmiany wyglądu twarzy i powiększenie stóp, w pierwszym rzędzie należy wykonać oznaczenie:",D,hormonu wzrostu o 8.00 rano.,hormonu wzrostu o dowolnej porze dnia.,FGF-23 (czynnika wzrostu fibroblastów -23).,"IGF-1 (insulinopodobnego czynnika wzrostu
1).","IGF-2 (insulinopodobnego czynnika wzrostu
2).",choroby_wewnętrzne,,,,
,81,Które z czynników przyspieszają progresję przewlekłej choroby nerek?,D,palenie tytoniu.,otyłość.,nadmiar białka zwierzęcego.,"prawdziwe są odpowiedzi A,B,C.",prawdziwe są odpowiedzi A i B.,choroby_wewnętrzne,,,,
,82,"W zapisie EKG w przebiegu hipokaliemii obserwuje się:
1) wydłużenie odstępów PQ; 12
2) spłaszczenie załamków P;
3) poszerzenie zespołów QRS;
4) obniżenie odcinków ST;
5) wzrost amplitudy i szerokości załamków U.
Prawidłowa odpowiedź to:",C,"1,3,5.","1,2,3.","1,3,4,5.","2,3,5.","2,4.",choroby_wewnętrzne,,,,
,83,Do immunologicznych kryteriów rozpoznania tocznia rumieniowatego układowego nie należy obecność przeciwciał:,D,przeciw natywnemu DNA.,przeciw Sm.,antykardiolipinowych.,przeciw Chlamydia trachomatis w wysokim mianie.,przeciwjądrowych w teście immunofluorescencji pośredniej.,choroby_wewnętrzne,,,,
,84,Do typowych objawów reumatycznych nieswoistych zapaleń jelit nie należy:,E,"zapalenie dużych stawów, zwłaszcza kończyn dolnych.",niesymetryczne zapalenie stawów śródręczno-paliczkowych.,rumień guzowaty.,"zapalenie stawów krzyżowo-biodrowych, zwykle asymetryczne.",zapalenie chrząstek małżowiny usznej i nosa.,choroby_wewnętrzne,,,,
,85,"Do klasycznych powikłań niesteroidowych leków przeciwzapalnych należą:
1) owrzodzenie błony śluzowej i krwawienia z przewodu pokarmowego;
2) powikłania sercowo-naczyniowe;
3) nadwrażliwość na światło;
4) uszkodzenie nerek;
5) wzrost aktywności enzymów wątrobowych.
Prawidłowa odpowiedź to:",C,wszystkie wymienione.,"1,2,5.","1,2,4,5.","2,3,4.","2,3,5.",choroby_wewnętrzne,,,,
,86,"Do głośnego I tonu serca predysponuje:
1) szczupła sylwetka;
2) tachykardia;
3) niedomykalność zastawki mitralnej;
4) krótki odstęp PQ;
5) zawał serca.
Prawidłowa odpowiedź to:",C,"1,2,5.","1,2,3.","1,2,4.","1,2,3,4.",wszystkie wymienione.,choroby_wewnętrzne,,,,
,87,Objawy zespołu żyły głównej górnej mogą występować w przebiegu:,E,chłoniaka.,raka płuca.,zakrzepicy.,prawdziwe są odpowiedzi A i B.,"prawdziwe są odpowiedzi A, B i C.",choroby_wewnętrzne,,,,
,88,"Próba rozkurczowa służy do oceny odwracalności obturacji. Wykonuje się ją po inhalacji leku rozkurczającego oskrzela. Do leków stosowanych w tym celu należą:
1) bromek ipratropium;
2) salbutamol lub fenoterol;
3) salmeterol;
4) formoterol;
5) klenbuterol.
Prawidłowa odpowiedź to:",C,"1,5.","2,5.","1,2.","3,4.","4,5.",choroby_wewnętrzne,,,,
,89,"80-letnia pensjonariuszka domu opieki społecznej została przewieziona na izbę przyjęć z powodu pogorszenia kontaktu, osłabienia siły kończyny dolnej prawej od około 5 godzin. Z wywiadu środowiskowego chora bez gorączki, bólów brzucha. W wykonanym badaniu ogólnym moczu stwierdzono białkomocz 0,1 mg/dl, leukocyty 15-20 wpw z obecnością licznych bakterii. CRP 10 ng/ml (n < 5 ng/ml),
Prawidłowa morfologia krwi, eGFR 39 ml/min. Najbardziej prawdopodobną przyczyną dolegliwości jest:",E,ostre odmiedniczkowe zapalenie nerek.,ostre kłębuszkowe zapalenie nerek.,kolka nerkowa spowodowana kamicą.,zapalenie pęcherza moczowego.,opisywane zmiany w moczu są typowe dla osób starszych i nie powinny być wskazaniem do włączenia leczenia przeciwbakteryjnego przy braku objawów klinicznych.,choroby_wewnętrzne,,,,
,90,Typowe leczenie chorych z zespołem tzw. ostrego rozpadu nowotworu obejmuje:,D,nawadnianie i forsowanie diurezy.,stosowanie allopurynolu.,stosowanie glikokortykosteroidów.,prawdziwe są odpowiedzi A i B.,"prawdziwe są odpowiedzi A, B i C.",choroby_wewnętrzne,,,,
,91,"Do czynników ryzyka hiperglikemii w ciąży nie należą:
1) uprzednio przebyta cukrzyca ciążowa;
2) urodzenie noworodka z wadą rozwojową;
3) pierwsza ciąża;
4) ciąża > 35. r.ż.;
5) nadciśnienie tętnicze przed ciążą;
6) nadwaga przed ciążą.
Prawidłowa odpowiedź to:",E,"1,3.","2,3.","4,5,6.","3,6.",tylko 3.,choroby_wewnętrzne,,,,
,92,"Do zaburzeń towarzyszących przewlekłej chorobie nerek zalicza się wszystkie poniżej wymienione, z wyjątkiem:",E,wtórnej nadczynności przytarczyc.,hipogonadyzmu hipogonadotropowego.,niedokrwistości nerkopochodnej.,nadciśnienia tętniczego miąższowo-nerkowego.,kamicy cystynowej.,choroby_wewnętrzne,,,,
,93,"68-letni chory zgłosił się do Poradni Chorób Zakaźnych z rozpoznaniem przewlekłego zapalenia wątroby typu C (PZW C), z potwierdzonym badaniem elastograficznym włóknieniem F3. Dodatkowo chory cierpi na chorobę niedokrwienną serca. Choremu powinno zostać zaproponowane następujące postępowanie, które będzie skutkowało następującym rokowaniem:",E,"leczenie przewlekłego zakażenia HCV prowadzi się tylko z zastosowaniem pegylowanego interferonu i można osiągnąć w ten sposób wyleczenie u 90% chorych, jednak u chorego taka terapia jest przeciwwskazana z powodu choroby niedokrwiennej serca.","chory nie będzie leczony, gdyż w Polsce leczenie przeciwwirusowe PZWC u chorych po 65. roku życia nie jest refundowane.","skojarzone leczenie pegylowanym interferonem α z rybawiryną i telaprewirem przez 11 miesięcy, które daje trwałą odpowiedź wirusową (SVR) u 80% wszystkich leczonych, jest leczeniem optymalnym, zalecanym obecnie u większości chorych, niezależnie od chorób współistniejących.",chory nie wymaga leczenia przeciwwirusowego ze względu na małe zaawansowanie włóknienia w wątrobie.,"terapia doustna dwoma lub trzema lekami o bezpośrednim działaniu hamującym replikację HCV, której celem jest wyleczenie zakażenia HCV (genotyp
1) w ponad 90% przepadków.",choroby_wewnętrzne,,,,
,94,"Przeciwwskazania do biopsji nerki obejmują:
1) ostrą niewydolność nerek wymagającą dializoterapii;
2) brak jednej nerki;
3) w badaniu usg nerki wielkości około 7 cm, warstwa korowa szerokości 5-7 mm;
4) ostre bakteryjne cewkowo-śródmiąższowe zapalenie nerek;
5) ostre polekowe cewkowo-śródmiąższowe zapalenie nerek.
Prawidłowa odpowiedź to:",A,"2,3,4.","1,2,4.","2,3,4,5.","1,2,3,4.","1,2,4,5.",choroby_wewnętrzne,,,,
,95,"U 65-letniego palacza tytoniu wystąpił makroskopowy krwiomocz, bez towarzyszącego bólu, a w badaniu USG stwierdzono litą zmianę (guz), średnicy ponad 4 cm w biegunie lewej nerki. Jakie powinno być postępowanie?
1) obserwacja zmiany w badaniu USG powtarzanym co 6 miesięcy;
2) badanie ogólne moczu i cytologia moczu;
3) ocena czynności nerek, morfologia krwi, fosfataza zasadowa, stężenie wapnia;
4) badanie TK jamy brzusznej i miednicy oraz klatki piersiowej dla oceny stopnia zaawansowania procesu nowotworowego;
5) nefrektomia częściowa lub radykalna w zależności od zaawansowania choroby.
Prawidłowa odpowiedź to:",E,tylko 1.,"1,2.","1,2,3.","2,3,4.","2,3,4,5.",choroby_wewnętrzne,,,,
,96,"Do doustnych leków przeciwzakrzepowych należą wszystkie wymienione, z wyjątkiem:",D,apiksabanu.,warfaryny.,dabigatranu.,eptyfibatydu.,rywaroksabanu.,choroby_wewnętrzne,,,,
,97,"Pacjentka lat 28, po spożyciu dwóch lampek wina trafiła do szpitala z powodu bardzo silnych, rozlanych bólów brzucha, nudności, wymiotów z towarzyszącym zaparciem. Dodatkowo wystąpiła gorączka, wzmożona potliwość, trudności w oddawaniu moczu, chora splątana, zalękniona, bez cech anemizacji. W diagnostyce różnicowej kluczowym pytaniem będzie:",C,Czy zauważyła wcześniej krew w kale?.,Czy wymioty były fusowate?.,Czy zaobserwowała czerwone zabarwienie moczu?.,Czy ostatnio miała niepowodzenie życiowe?.,Czy bóle brzucha występowały wcześniej?.,choroby_wewnętrzne,,,,
,98,Główne cechy laboratoryjne niedokrwistości chorób przewlekłych to:,C,"obniżone stężenie żelaza w surowicy, podwyższone stężenie transferyny, obniżone wysycenie transferyny, obniżone stężenie ferrytyny.","podwyższone stężenie żelaza w surowicy, podwyższone wysycenie transferyny, obniżone stężenie ferrytyny.","obniżone stężenie żelaza w surowicy, obniżone lub prawidłowe stężenie transferyny, obniżone wysycenie transferyny, prawidłowe lub podwyższone stężenie ferrytyny.","makrocytoza krwinek czerwonych, obniżone stężenie żelaza w surowicy, podwyższone stężenie transferyny, obniżone stężenie ferrytyny.","normo- lub mikrocytoza krwinek czerwonych, obniżone stężenie żelaza, podwyższone wysycenie transferyny, podwyższone stężenie ferrytyny.",choroby_wewnętrzne,,hematologia,,
